date,mean_annual_rh,median_annual_rh,max_annual_rh,min_annual_rh,annual_num_of_rainy_days,total_annual_precipitation,total_mean_precipitation,mean_annual_temp,median_annual_temp,max_annual_temp,min_annual_temp,mean_annual_sunshine_hrs,median_annual_sunshine_hrs,max_annual_sunshine_hrs,min_annual_sunshine_hrs
1982,81.97,81.35,87.7,77.6,130,1581.7,4.33,27.36,27.35,28.4,25.9,5.75,5.6,7.6,3.3
1983,82.28,82.85,88.0,76.0,145,1993.7,5.46,27.67,27.85,29.4,25.4,5.62,5.65,9.3,2.7
1984,84.62,84.1,86.7,82.5,191,2686.7,7.34,26.77,27.0,27.5,25.5,5.08,5.3,6.4,3.3
1985,83.21,83.6,86.2,79.4,181,1483.9,4.07,27.12,27.0,28.2,26.1,5.59,5.55,8.7,4.1
1986,82.87,84.0,86.6,77.3,174,2536.1,6.95,27.1,26.9,28.3,25.7,5.52,5.5,7.2,3.9
1987,82.87,83.0,86.0,79.0,151,2102.8,5.76,27.38,27.55,28.7,25.5,5.92,5.7,9.2,4.0
1988,83.84,84.15,86.8,81.1,173,2598.6,7.1,27.23,27.2,28.4,26.2,5.38,5.5,6.7,3.7
1989,84.35,84.25,87.6,78.3,173,2463.2,6.75,26.92,26.95,27.7,26.3,5.53,5.5,6.7,4.5
1990,82.21,82.5,86.0,77.6,142,1523.8,4.17,27.59,27.55,28.6,26.2,6.2,5.9,8.9,4.6
1991,83.13,82.3,90.7,78.7,146,1877.0,5.14,27.43,27.6,28.6,25.6,5.38,5.45,7.1,3.0
1992,83.31,82.55,90.3,80.5,163,2260.8,6.18,27.35,27.45,28.4,25.5,5.52,5.6,7.7,3.4
1993,83.66,83.75,87.4,79.4,163,2168.7,5.94,27.43,27.55,28.6,26.2,5.88,5.7,8.5,4.2
1994,83.32,84.0,88.4,78.7,160,1941.8,5.32,27.59,27.9,28.4,26.7,5.42,5.55,7.6,3.5
1995,84.54,84.6,87.5,81.6,179,2332.6,6.39,27.58,27.7,28.9,26.3,5.05,5.1,6.6,3.1
1996,83.35,83.45,85.5,81.0,170,2418.0,6.61,27.49,27.6,28.5,26.2,5.56,5.3,7.7,4.3
1997,79.63,78.9,85.3,76.5,116,1118.9,3.07,28.25,28.15,29.3,27.1,5.71,5.65,7.7,3.2
1998,82.46,82.2,88.5,77.8,177,2623.1,7.19,28.3,28.05,29.5,26.6,5.72,5.2,8.9,3.1
1999,84.16,84.25,88.3,81.7,177,2134.0,5.85,27.49,27.4,28.3,26.6,5.41,5.7,6.8,3.9
2000,84.74,84.95,87.6,82.1,188,2370.5,6.48,27.46,27.5,28.6,26.3,5.17,5.2,6.8,3.7
2001,84.27,84.1,87.4,80.8,184,2783.1,7.62,27.61,27.65,28.5,26.5,5.22,4.9,8.1,3.7
2002,82.49,82.2,88.7,79.2,139,1748.9,4.79,28.08,28.3,28.9,27.0,6.3,6.45,7.6,4.6
2003,84.3,84.85,87.3,78.5,186,2391.2,6.55,27.75,27.75,29.2,26.5,5.43,5.35,7.0,3.9
2004,83.47,83.75,86.7,79.8,147,2136.4,5.84,27.86,27.75,29.0,26.8,5.97,5.95,7.7,4.2
2005,83.16,83.65,86.4,77.7,175,1930.7,5.29,28.02,28.2,28.8,26.6,6.07,5.85,9.1,4.4
2006,84.59,84.6,88.5,80.9,174,2753.2,7.54,27.72,27.9,28.4,26.5,5.63,5.4,7.4,3.2
2007,84.5,84.75,86.8,82.5,195,2886.2,7.91,27.53,27.7,28.4,26.4,5.32,5.65,7.6,3.5
2008,83.41,83.3,87.1,79.1,182,2325.1,6.35,27.48,27.5,28.8,26.5,5.24,5.3,6.6,4.0
2009,82.37,82.1,86.3,79.1,166,1920.9,5.26,27.92,28.25,29.1,26.8,5.95,6.2,7.0,4.7
2010,82.88,83.2,85.9,77.3,178,2075.1,5.69,28.1,28.15,29.2,26.8,5.69,5.55,8.8,3.6
2011,84.62,84.6,88.4,81.1,188,2524.2,6.92,27.58,27.55,28.7,26.3,5.58,5.2,7.8,3.3
2012,83.48,84.1,87.3,79.0,191,2159.9,5.9,27.53,27.65,28.7,26.7,5.53,5.85,7.0,3.6
2013,81.69,81.7,86.9,74.6,206,2748.4,7.53,27.65,27.75,29.0,26.5,5.43,5.55,7.5,3.5
2014,78.52,78.4,82.6,74.5,152,1538.4,4.21,27.91,28.05,29.0,26.2,5.98,5.75,8.8,3.7
2015,76.9,76.25,81.1,74.9,125,1267.1,3.47,28.25,28.5,29.1,26.9,6.17,6.4,7.4,4.3
2016,75.95,76.45,79.6,72.0,179,1955.7,5.34,28.42,28.35,29.4,27.4,6.0,6.25,8.0,3.5
2017,82.62,82.65,86.3,79.6,204,2045.6,5.6,27.7,27.85,28.5,26.9,5.8,5.8,7.1,4.2
2018,79.6,78.75,86.6,77.0,188,1708.2,4.68,27.89,28.0,28.7,26.1,5.75,6.05,8.0,3.8
2019,76.65,76.6,83.9,72.1,120,1367.5,3.75,28.42,28.5,29.3,26.7,6.78,6.85,9.2,4.8
2020,78.08,78.05,81.7,75.2,178,1886.6,5.15,28.04,28.0,28.9,27.2,5.88,5.7,8.3,4.0
2021,78.45,78.05,82.6,73.8,182,2809.6,7.7,27.91,28.05,28.7,26.0,6.12,6.3,8.2,4.2
2022,78.62,78.9,81.2,76.5,210,2207.2,6.05,27.87,27.9,29.2,26.8,5.3,5.35,8.3,3.5
